city,lat,lng
Karachi,24.86,67.01
Lahore,31.5497,74.3436
Kotla Qasim Khan,32.5833,73.75
Faisalabad,31.4167,73.0911
Rawalpindi,33.6,73.0333
Gujranwala,32.1567,74.19
Peshawar,34.0144,71.5675
Multan,30.1978,71.4697
Hyderabad City,25.3792,68.3683
Islamabad,33.6931,73.0639
Quetta,30.1833,67
Kumila,35.25,73.5
Bahawalpur,29.3956,71.6836
Parachinar,33.9,70.1
Sargodha,32.0836,72.6711
Sialkot City,32.4925,74.5311
Sukkur,27.7061,68.8483
Pindi Bhattian,31.8958,73.2761
Larkana,27.5583,68.2111
Chiniot,31.7194,72.9842
Shekhupura,31.7111,73.9878
Shah Latif Town,24.8806,67.1625
Sanghar,26.0442,68.9536
Rahimyar Khan,28.42,70.3
Jhang City,31.2694,72.3161
Dera Ghazi Khan,30.0331,70.64
Gujrat,32.5739,74.0789
Cantonment,31.5167,74.3833
Bhawana,31.5661,72.6461
Malakwal,32.5531,73.2067
Mardan,34.2012,72.0258
Thari Mir Wah,27.0683,68.6023
Khipro,25.823,69.377
Chak Jhumra,31.5667,73.1833
Hafizabad,32.0714,73.6878
Kasur,31.1167,74.45
Khairpur Tamewah,29.58,72.2328
Chakwal,32.9303,72.8556
Khanewal,30.3,71.9333
Marot,28.51,71.5
Mingaora,34.7717,72.36
Mehrabpur,27.0994,68.4208
Turbat,26.0042,63.0606
Khwazakhela,34.9333,72.4667
Nawabshah,26.2442,68.41
Skardu,35.2903,75.6444
Kotri,25.374,68.3013
Sahiwal,30.6611,73.1083
Mirpur Khas,25.525,69.0158
Okara,30.8092,73.4536
Thatta,24.7461,67.9244
Chilas,35.4194,74.0944
Mirpur Bhtoro,24.73,68.25
Mandi Burewala,30.1592,72.6817
Jacobabad,28.2769,68.4514
Jhelum,32.9425,73.7256
Saddiqabad,28.3006,70.1302
Kuchlagh,31.0833,67.1056
Khapalu,35.1667,76.3333
Talhar,24.8833,68.8167
Kohat,33.5833,71.4333
Muridke,31.802,74.255
Muzaffargarh,30.0694,71.1942
Ziarat,30.381,67.727
Khanpur,28.65,70.68
Gojra,31.15,72.6833
Panjgur,26.9683,64.1014
Mandi Bahauddin,32.5797,73.4814
Eminabad,32.0422,74.26
Jaranwala,31.3333,73.4167
Abbottabad,34.1558,73.2194
Dadu,26.7325,67.7792
Khairpur Mir’s,27.5333,68.7667
Lodhran,29.5333,71.6333
Bahawalnagar,29.9928,73.2536
Khuzdar,27.8,66.6167
Pakpattan,30.3442,73.3839
Taxila,33.7458,72.7875
Zafarwal,32.35,74.9
Tando Allahyar,25.4617,68.7167
Sarhari,26.1,68.4833
Ahmadpur East,29.1439,71.2592
Wazirabad,32.4353,74.1142
Vihari,30.0419,72.3528
New Mirpur,33.15,73.7333
Kamalia,30.7333,72.65
Kot Addu,30.4664,70.9656
Ghotki,28.1,69.19
Nowshera,34.0153,71.9747
Badin,24.6572,68.8406
Swabi,34.1202,72.4702
