City,Category,PlaceName,Description
Abbottabad,Food,Ilyasi Pakora,Famous spicy fritters sold near the Ilyasi Mosque
Abbottabad,Nature,Ilyasi Mosque,Historic mosque built over a natural water spring
Abbottabad,Nature,Shimla Hill,Offers panoramic views of the entire city and pine forests
Abbottabad,Nature,Thandiani,High-altitude hill station known for cold weather
Attock,Food,Mahi Farosh Fish,Traditional fried fish from the Indus river crossing
Attock,Historical,Attock Fort,Built by Emperor Akbar to guard the Indus crossing
Bahawalpur,Food,Mushtaq Sohan Halwa,Traditional walnut-based sweet treat
Bahawalpur,Historical,Abbasi Mosque,Elegant marble mosque located near Derawar Fort
Bahawalpur,Historical,Derawar Fort,Massive fortress in the heart of the Cholistan Desert
Bahawalpur,Historical,Noor Mahal,19th-century Italianate-style palace of the Nawabs
Bahawalpur,Historical,Sadiq Garh Palace,Opulent palace set in white marble and large gardens
Bahawalpur,Nature,Lal Suhanra National Park,Large safari park and biosphere reserve
Bannu,Food,Bannu Pulao,Famous beef rice dish known for its oily and spicy texture
Bannu,Historical,Akra Mound,Ancient archaeological site from the Bronze age
Chakwal,Food,Pehlwan Rewari,Traditional sesame seed brittle sweet
Chakwal,Nature,Katas Raj Temples,Ancient Hindu temple complex and sacred pond
Chakwal,Nature,Kallar Kahar,Salt Range lake famous for peacocks and gardens
Chakwal,Nature,Swaik Lake,Hidden waterfall and lake with turquoise water
Chilas,Food,Dried Fruits,Locally harvested walnuts and almonds
Chilas,Historical,Rock Carvings,Ancient petroglyphs along the Karakoram Highway
Chitral,Cultural,Kalash Valleys,Home to the unique Kalash people and their vibrant culture
Chitral,Food,Ghalmandi,Traditional crepes layered with cottage cheese and butter
Chitral,Historical,Chitral Fort,Historical seat of the Mehtar of Chitral
Chitral,Nature,Chitral Gol National Park,Protected area for Markhors and Himalayan ibex
Chitral,Nature,Shandur Pass,Highest polo ground in the world
Dera Ghazi Khan,Food,Sohan Halwa,The local version of the sticky nutty sweet
Dera Ghazi Khan,Nature,Fort Munro,Hill station in the Sulaiman Range of Punjab
Dera Ismail Khan,Food,Dhaka Cham-Cham,Famous syrup-soaked traditional sweet
Dera Ismail Khan,Historical,Kafir Kot,Ancient ruins of Hindu temples overlooking the Indus
Faisalabad,Cultural,Chenab Club,Colonial-era social club with beautiful lawns
Faisalabad,Food,Chaman Ice Cream,Classic dairy treat popular in the textile hub
Faisalabad,Food,Samosa Chaat,Famous street food from the Clock Tower area
Faisalabad,Historical,Clock Tower,British-era landmark at the center of eight markets
Faisalabad,Nature,Gatwala Wildlife Park,Botanical garden and breeding center
Gilgit,Adventure,Rakaposhi Base Camp,Challenging trek with views of the massive Rakaposhi peak
Gilgit,Food,Chapshuro,The Gilgiti version of a pizza filled with spicy meat
Gilgit,Nature,Bagrot Valley,Scenic valley offering glimpses of local life and peaks
Gilgit,Nature,Danyore Suspension Bridge,Thrilling bridge connecting to a rock-cut Buddha
Gilgit,Nature,Kargah Buddha,Ancient rock-cut Buddha carving from the 7th century
Gilgit,Nature,Naltar Valley,Stunning valley known for its multi-colored lakes
Gujranwala,Cultural,Wrestling Stadium,Historical hub for Pehlawani (traditional wrestling)
Gujranwala,Food,Chirwi Karahi,Famous small-bird karahi (sparrows) specific to this city
Gujranwala,Food,Pehlwan Tikka,Hearty BBQ chicken tikka known for its size
Gujrat,Food,Gujrat ki Barfi,Traditional milk-based sweet dessert
Gujrat,Historical,Rohtas Gate,Gateway to the historical routes of the Salt Range
Gwadar,Food,Gwadar Halwa,The iconic translucent sweet of the port city
Gwadar,Food,Stuffed Lobster,Fresh Arabian Sea seafood prepared with local spices
Gwadar,Nature,Astola Island,Pristine uninhabited island popular for eco-tourism
Gwadar,Nature,Hammerhead,Rock formation offering views of the Arabian Sea and port
Gwadar,Nature,Ormara Beach,Untouched coastal area with golden sand
Gwadar,Nature,Pishukan,Scenic fishing village with turquoise waters
Hingol,Food,Travelers Sajji,Balochi style meat preparation for pilgrims
Hingol,Historical,Hinglaj Mata Temple,Important Hindu pilgrimage site in a natural cave
Hingol,Nature,Princess of Hope,Natural rock formation in Hingol National Park
